customer_id,first_name,last_name,email,country_code,state_province,kyc_status,risk_tier,credit_score,annual_income,account_balance,account_created_at,account_tier,has_crypto_wallet,is_pep
C93810,Richard,Sharma,richard.sharma336@yahoo.com,US,AZ,Rejected,Critical,476,195774,11431.77,2024-04-10,Platinum,0,0
C24592,Mark,Scott,mark.scott853@outlook.com,US,CA,Verified,Low,396,132133,21121.08,2024-01-16,VIP,0,0
C13278,Karen,Walker,karen.walker869@fintechmail.io,DE,N/A,Verified,Low,475,110213,1736.07,2021-08-01,Standard,0,0
C46048,Barbara,Wilson,barbara.wilson708@outlook.com,IN,N/A,Verified,Medium,810,57032,44456.61,2023-06-11,Silver,0,0
C42098,Daniel,Thompson,daniel.thompson658@proton.me,US,PA,Under Review,Low,702,34398,31981.24,2020-10-28,Standard,0,0
C39256,Ashley,Perez,ashley.perez955@icloud.com,IN,N/A,Verified,Medium,691,312836,30563.12,2021-05-30,VIP,1,0
C28289,Jennifer,Harris,jennifer.harris184@outlook.com,FR,N/A,Under Review,Medium,737,131648,53291.47,2021-11-21,VIP,0,0
C23434,Patricia,Taylor,patricia.taylor553@icloud.com,CA,N/A,Verified,Medium,,200980,63639.93,2023-07-21,Standard,0,0
C98696,Aarav,Tanaka,aarav.tanaka421@icloud.com,GB,N/A,Verified,Medium,401,41395,64103.33,2020-10-08,VIP,1,0
C81482,Lisa,Sharma,lisa.sharma255@outlook.com,SG,N/A,Verified,Medium,569,258716,17436.56,2024-07-03,Standard,1,0
C21395,Anthony,Brown,anthony.brown178@fintechmail.io,US,GA,Pending,Critical,600,136673,24317.49,2020-03-26,Silver,0,0
C87397,Charles,Perez,charles.perez840@yahoo.com,DE,N/A,Verified,High,582,264798,25808.85,2023-04-30,Gold,0,0
C65302,Amara,Moore,amara.moore248@gmail.com,US,MA,Verified,High,,50396,17028.13,2020-04-03,VIP,1,0
C14165,Elizabeth,Silva,elizabeth.silva234@fintechmail.io,IN,N/A,Verified,Medium,774,275464,9060.41,2023-12-05,Gold,1,0
C13905,Linda,Martinez,linda.martinez922@yahoo.com,US,OH,Rejected,Medium,408,160560,9130.69,2024-02-27,Platinum,1,0
C22280,Thomas,Jones,thomas.jones155@outlook.com,FR,N/A,Verified,Low,452,113902,15541.78,2023-08-27,Gold,0,0
C38657,Kimberly,Muller,kimberly.muller91@outlook.com,DE,N/A,Verified,Low,500,52822,51815.84,2020-09-28,Gold,0,0
C40495,Paul,Sharma,paul.sharma399@gmail.com,SG,N/A,Under Review,Low,560,195381,22492.3,2020-08-05,Platinum,0,0
C76237,Michelle,Johnson,michelle.johnson859@outlook.com,IN,N/A,Under Review,Low,362,78258,46166.26,2022-04-22,VIP,1,0
C88907,Emily,King,emily.king478@gmail.com,AU,N/A,Verified,High,820,88116,24181.99,2020-05-05,Gold,0,0
C13478,Paul,Brown,paul.brown256@proton.me,DE,N/A,Under Review,High,412,130002,7135.69,2021-12-08,VIP,0,0
C83563,Nancy,Harris,nancy.harris171@yahoo.com,AU,N/A,Verified,Low,827,54646,9502.74,2021-06-21,VIP,0,0
C36062,Daniel,Rodriguez,daniel.rodriguez912@proton.me,IN,N/A,Verified,Low,455,210889,3560.96,2019-11-15,Platinum,0,0
C95181,Mateo,Perez,mateo.perez337@proton.me,GB,N/A,Verified,Critical,,50942,33851.37,2020-12-24,Gold,0,0
C81426,Sarah,Lee,sarah.lee766@icloud.com,US,FL,Pending,Low,394,58807,1080.85,2022-11-24,Gold,0,0
C64987,Donald,Flores,donald.flores887@gmail.com,CA,N/A,Pending,Low,403,52269,64970.76,2022-12-28,Standard,0,0
C38893,Margaret,Flores,margaret.flores330@icloud.com,US,MA,Under Review,High,536,292898,14514.82,2024-07-24,Gold,0,0
C68878,Margaret,Thompson,margaret.thompson690@gmail.com,SG,N/A,Under Review,Medium,778,312307,47506.97,2022-11-13,Gold,0,0
C87236,Aarav,Taylor,aarav.taylor611@yahoo.com,GB,N/A,Verified,Low,597,245118,72096.67,2021-05-07,Platinum,1,0
C46463,Donna,Rodriguez,donna.rodriguez950@outlook.com,AU,N/A,Pending,Critical,764,26737,69865.4,2019-10-22,Gold,0,0
C10851,Daniel,Gonzalez,daniel.gonzalez342@yahoo.com,SG,N/A,Verified,Critical,752,142209,36240.03,2020-11-29,Standard,0,0
